Date,Account,Payee,Category,Amount
3/15/2026,Checking,Employer,Salary,8000.00
3/15/2026,Checking,First Church,Charitable Donations:Tithe,-800.00
3/18/2026,Checking,Kroger,Groceries,-520.00
3/20/2026,Checking,City Power,Utilities:Electric,-140.00
3/22/2026,Checking,Transfer to brokerage,[Vanguard Brokerage],-2000.00
4/15/2026,Checking,Employer,Salary,8000.00
4/15/2026,Checking,First Church,Charitable Donations:Tithe,-800.00
4/17/2026,Checking,Kroger,Groceries,-490.00
4/21/2026,Checking,City Power,Utilities:Electric,-135.00
4/22/2026,Checking,Transfer to brokerage,[Vanguard Brokerage],-2000.00
5/15/2026,Checking,Employer,Salary,8200.00
5/15/2026,Checking,First Church,Charitable Donations:Tithe,-820.00
5/16/2026,Checking,Kroger,Groceries,-505.00
5/20/2026,Checking,City Power,Utilities:Electric,-128.00
5/22/2026,Checking,Transfer to brokerage,[Vanguard Brokerage],-2000.00
6/15/2026,Checking,Employer,Salary,8000.00
6/15/2026,Checking,First Church,Charitable Donations:Tithe,-800.00
6/18/2026,Checking,Kroger,Groceries,-540.00
6/21/2026,Checking,City Power,Utilities:Electric,-132.00
7/15/2026,Checking,Employer,Salary,8000.00
7/15/2026,Checking,First Church,Charitable Donations:Tithe,-800.00
7/19/2026,Checking,Kroger,Groceries,-510.00
7/22/2026,Checking,City Power,Utilities:Electric,-145.00
8/15/2026,Checking,Employer,Salary,8000.00
8/15/2026,Checking,First Church,Charitable Donations:Tithe,-800.00
8/18/2026,Checking,Kroger,Groceries,-495.00
8/20/2026,Checking,City Power,Utilities:Electric,-138.00
8/25/2026,Checking,Bonus,Bonus,2500.00
